Date,Open,High,Low,Close,Volume
2018-01-02,51380.0,51400.0,50780.0,51020.0,169485
2018-01-03,52540.0,52560.0,51420.0,51620.0,200270
2018-01-04,52120.0,52180.0,50640.0,51080.0,233909
2018-01-05,51300.0,52120.0,51200.0,52120.0,189623
2018-01-08,52400.0,52520.0,51500.0,52020.0,167673
2018-01-09,51460.0,51720.0,49980.0,50400.0,360272
2018-01-10,50500.0,50520.0,48640.0,48840.0,371336
2018-01-11,48200.0,49260.0,48020.0,48240.0,502476
2018-01-12,48240.0,48480.0,46760.0,48200.0,545409
2018-01-15,48800.0,48980.0,47920.0,48540.0,201920
2018-01-16,48760.0,50140.0,48620.0,50000.0,407793
2018-01-17,50020.0,50020.0,49060.0,49620.0,221061
2018-01-18,50020.0,50640.0,49820.0,49900.0,296977
2018-01-19,50380.0,50380.0,49040.0,49320.0,184399
2018-01-22,48640.0,48680.0,47960.0,48240.0,250418
2018-01-23,48660.0,49160.0,48300.0,49160.0,270654
2018-01-24,48860.0,49700.0,48560.0,49340.0,191010
2018-01-25,49220.0,50360.0,49160.0,50260.0,223207
2018-01-26,50500.0,50780.0,49840.0,50780.0,207002
2018-01-29,51200.0,51480.0,50900.0,51220.0,236776
2018-01-30,50440.0,50640.0,49780.0,49800.0,245691
2018-01-31,50020.0,54140.0,49600.0,49900.0,1293626
2018-02-01,50620.0,50960.0,49720.0,49820.0,552189
2018-02-02,49380.0,49400.0,47700.0,47700.0,585207
2018-02-05,46500.0,48320.0,46000.0,47920.0,567158
2018-02-06,46600.0,47920.0,46580.0,47420.0,388129
2018-02-07,48240.0,48260.0,45800.0,45800.0,468961
2018-02-08,46120.0,46620.0,45980.0,46000.0,465021
2018-02-09,44440.0,45180.0,44420.0,44700.0,349300
2018-02-12,45100.0,46320.0,45040.0,45720.0,315099
2018-02-13,46200.0,48060.0,46200.0,47540.0,378465
2018-02-14,48080.0,49100.0,47940.0,49000.0,378118
2018-02-19,49800.0,49800.0,47860.0,48380.0,307069
2018-02-20,48040.0,48160.0,47220.0,47400.0,202452
2018-02-21,47280.0,47580.0,46840.0,47280.0,257604
2018-02-22,47260.0,47260.0,46760.0,46760.0,177399
2018-02-23,46760.0,47800.0,46760.0,47220.0,248466
2018-02-26,47280.0,47560.0,47080.0,47380.0,191213
2018-02-27,48360.0,48380.0,47380.0,47380.0,196611
2018-02-28,47380.0,48100.0,47000.0,47060.0,303247
2018-03-02,46580.0,46800.0,46000.0,46020.0,265310
